what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1436621721169
processors,sysinfo,,,"4",1436621721169
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436621721169
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1436621721169
java.specification.name,sysinfo,,,"Java Platform API Specification",1436621721169
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1436621721169
java.specification.version,sysinfo,,,"1.6",1436621721169
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1436621721169
java.version,sysinfo,,,"1.6.0_29",1436621721169
java.vm.info,sysinfo,,,"mixed mode, sharing",1436621721169
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436621721169
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436621721169
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1436621721169
java.vm.specification.version,sysinfo,,,"1.0",1436621721169
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1436621721169
java.vm.version,sysinfo,,,"20.4-b02",1436621721169
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1436621721391
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1436621721426
started,bundle,org.sf.feeling.decompiler,1.0.3.201211040213,"org.sf.feeling.decompiler",1436621721614
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1436621722113
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1436621722114
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1436621722244
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1436621722311
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1436621722607
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1436621722955
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1436621723396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621752958
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621877004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621878335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621881680
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1436621884568
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1436621886672
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1436621886691
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1436621886705
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1436621886904
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1436621886974
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1436621895189
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1436621895201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621901176
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621911143
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1436621911571
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1436621911614
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1436621911732
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1436621912562
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1436621913403
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1436621913487
started,bundle,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.ui",1436621913487
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1436621913529
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1436621913612
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1436621913616
started,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1436621913763
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1436621914065
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1436621914113
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1436621914164
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1436621914556
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1436621914621
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1436621915525
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1436621916247
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1436621931394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621938599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621969772
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1436621973704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1436621975173
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1436621979225
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1436621980059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621980288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1436621980406
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1436621989803
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1436621989828
