what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412699696114
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412699878511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412699883627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412699887751
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1412699897984
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1412699900755
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1412699909297
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1412699909338
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1412699939508
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1412699974776
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1412699980324
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1412699980390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412699993630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412700007811
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1412700009880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412700015626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412700022686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412700028735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1412700036768
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1412700037137
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1412700037167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412700041930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1412700045731
