what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1479834499552
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1479834499554
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1479834499555
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1479834499556
os,sysinfo,,,"win32",1479834499560
arch,sysinfo,,,"x86_64",1479834499560
ws,sysinfo,,,"win32",1479834499560
locale,sysinfo,,,"en_US",1479834499560
processors,sysinfo,,,"4",1479834499561
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1479834499561
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1479834499561
java.specification.name,sysinfo,,,"Java Platform API Specification",1479834499561
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1479834499561
java.specification.version,sysinfo,,,"1.6",1479834499561
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1479834499561
java.version,sysinfo,,,"1.6.0_24",1479834499561
java.vm.info,sysinfo,,,"mixed mode",1479834499561
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1479834499561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1479834499561
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1479834499561
java.vm.specification.version,sysinfo,,,"1.0",1479834499561
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1479834499561
java.vm.version,sysinfo,,,"19.1-b02",1479834499561
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1479834499600
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1479834499648
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1479834499652
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1479834499664
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1479834499693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1479834499711
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1479834499780
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1479834499798
started,bundle,org.eclipse.jst.j2ee.web,1.1.501.v201108231500,"org.eclipse.jst.j2ee.web",1479834499812
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1479834499971
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1479834500037
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1479834500072
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1479834500080
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1479834500106
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1479834500244
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1479834500371
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1479834500427
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1479834500465
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1479834500518
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1479834500593
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1479834500601
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1479834500833
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1479834500937
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.300.v20110427,"org.eclipse.jst.server.tomcat.core",1479834501137
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1479834501354
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1479834501356
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1479834508100
