what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424113607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424213213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424492229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424494655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424951975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424972935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424976372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1429424994064
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1429424995592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424997558
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429424999445
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1429424999492
activated,editor,org.sf.feeling.decompiler,1.0.3.201211040213,"net.sf.feeling.decompiler.ClassFileEditor",1429425002215
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1429425003814
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1429425003976
activated,editor,org.sf.feeling.decompiler,1.0.3.201211040213,"net.sf.feeling.decompiler.ClassFileEditor",1429425008451
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429425010919
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429425014241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1429425021428
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1429425022045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1429425022726
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1429425023255
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1429425023738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1429425024194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1429425025594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429425027595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1429425075101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1429425091374
