what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884011048
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478884025230
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478884084604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884097770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1478884097817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884100391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884101608
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1478884101639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884103308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1478884103948
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884105695
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1478884105726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884107286
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1478884107333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884108768
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1478884109314
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1478884110266
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1478884110500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1478884111092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1478884111124
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1478884118222
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1478884118658
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478884122012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1478884137020
