what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1428833746327
ws,sysinfo,,,"win32",1428833746327
locale,sysinfo,,,"en_IN",1428833746327
processors,sysinfo,,,"4",1428833746327
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1428833746327
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1428833746327
java.specification.name,sysinfo,,,"Java Platform API Specification",1428833746327
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1428833746327
java.specification.version,sysinfo,,,"1.6",1428833746327
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1428833746327
java.version,sysinfo,,,"1.6.0_29",1428833746327
java.vm.info,sysinfo,,,"mixed mode, sharing",1428833746327
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1428833746327
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1428833746327
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1428833746327
java.vm.specification.version,sysinfo,,,"1.0",1428833746327
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1428833746327
java.vm.version,sysinfo,,,"20.4-b02",1428833746327
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1428833746861
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1428833746872
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1428833746915
started,bundle,org.sf.feeling.decompiler,1.0.3.201211040213,"org.sf.feeling.decompiler",1428833747442
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1428833747518
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1428833747537
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1428833747626
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1428833747627
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1428833747765
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1428833747865
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1428833748029
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1428833748494
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1428833748513
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1428833748528
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1428833748873
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1428833748927
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1428833749462
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428833752007
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1428833759813
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1428833762220
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1428833762229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428833768869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428833790500
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428833790886
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428833790935
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1428833793016
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428833803590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428833805574
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428833805646
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428833805679
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1428833813195
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1428833813220
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1428833813262
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1428833813322
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1428833813342
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1428833813423
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1428833813472
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1428833813654
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1428833813660
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1428833814107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1428833814428
